date,Unnamed: 0.1,Unnamed: 0,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price,date
2026-01-16,1154,1154,IBM,2026-01-16,115.0,110.8,call,0,2,0.02861,1.0,0.0,-0.01316,0.0,0.92681,0.830137,36.89355,36.89355,2026-01-16
2026-01-16,1156,1156,IBM,2026-01-16,120.0,141.5,call,0,10,0.02757,1.0,0.0,-0.01373,0.0,0.96711,0.830137,31.97588,31.97588,2026-01-16
2026-01-16,1158,1158,IBM,2026-01-16,125.0,129.21,call,0,25,0.02653,1.0,0.0,-0.0143,0.0,1.0074,0.830137,27.05821,27.05821,2026-01-16
2026-01-16,1160,1160,IBM,2026-01-16,130.0,123.27,call,0,119,0.0255,1.0,0.0,-0.01487,0.0,1.0477,0.830137,22.14054,123.27,2026-01-16
2026-01-16,1162,1162,IBM,2026-01-16,135.0,119.1,call,0,124,0.02446,1.0,0.0,-0.01545,0.0,1.088,0.830137,17.22287,119.1,2026-01-16
2026-01-16,1163,1163,IBM,2026-01-16,135.0,1.15,put,1,554,0.4026,-0.02337,0.00059,-0.00762,0.12769,-0.05716,0.830137,13.07638,1.15,2026-01-16
2026-01-16,1164,1164,IBM,2026-01-16,140.0,109.0,call,0,116,0.02342,1.0,0.0,-0.01602,0.0,1.12829,0.830137,12.30522,109.0,2026-01-16
2026-01-16,1166,1166,IBM,2026-01-16,145.0,106.2,call,0,215,0.02239,1.0,0.0,-0.01659,0.0,1.16859,0.830137,7.393968,106.2,2026-01-16
2026-01-16,1168,1168,IBM,2026-01-16,150.0,101.3,call,0,507,0.02135,1.0,0.0,-0.01716,0.0,1.20888,0.830137,2.78607,101.3,2026-01-16
2026-01-16,1170,1170,IBM,2026-01-16,155.0,113.0,call,0,231,0.02031,1.0,0.0,-0.01773,0.0,1.24918,0.830137,0.2942711,113.0,2026-01-16
2026-01-16,1172,1172,IBM,2026-01-16,160.0,89.21,call,0,473,0.01928,1.0,0.0,-0.01831,0.0,1.28948,0.830137,0.002602558,89.21,2026-01-16
2026-01-16,1173,1173,IBM,2026-01-16,160.0,2.38,put,6,558,0.37577,-0.05362,0.00125,-0.01365,0.25213,-0.13222,0.830137,24.774,2.38,2026-01-16
2026-01-16,1174,1174,IBM,2026-01-16,165.0,85.11,call,0,631,0.01824,1.0,0.0,-0.01888,0.0,1.32977,0.830137,5.524027e-07,85.11,2026-01-16
2026-01-16,1176,1176,IBM,2026-01-16,170.0,78.9,call,0,429,0.0172,1.0,0.0,-0.01945,0.0,1.37007,0.830137,7.388944e-13,78.9,2026-01-16
2026-01-16,1178,1178,IBM,2026-01-16,175.0,74.79,call,0,499,0.01617,1.0,0.0,-0.02002,0.0,1.41036,0.830137,1.238627e-21,74.79,2026-01-16
2026-01-16,1179,1179,IBM,2026-01-16,175.0,3.6,put,7,892,0.34589,-0.07523,0.00177,-0.01598,0.32809,-0.18474,0.830137,33.09654,3.6,2026-01-16
2026-01-16,1180,1180,IBM,2026-01-16,180.0,73.9,call,0,357,0.01513,1.0,0.0,-0.02059,0.0,1.45066,0.830137,2.525865e-34,73.9,2026-01-16
